"Year","Institution","State","CIP Code","CIP Description","Award Level","Total Graduate in that year","Male Graduate","Female Graduate","White","Black","Hispanic","Asian","Native American","Pacific Islander","Two or More Races","Race Unknown","Nonresident Alien"
2012,"Caldwell College","NJ","51.3801","Registered Nursing/Registered Nurse","Bachelor's degree",20,1,19,10,2,0,2,0,0,0,6,0
2013,"Caldwell College","NJ","51.3801","Registered Nursing/Registered Nurse","Bachelor's degree",30,3,27,9,4,6,3,0,0,0,8,0
2014,"Caldwell University","NJ","51.3801","Registered Nursing/Registered Nurse","Bachelor's degree",36,5,31,9,7,8,2,0,0,0,9,1
2015,"Caldwell University","NJ","51.3801","Registered Nursing/Registered Nurse","Bachelor's degree",21,1,20,11,3,2,2,0,0,0,3,0
2016,"Caldwell University","NJ","51.3801","Registered Nursing/Registered Nurse","Bachelor's degree",29,4,25,11,2,6,6,0,0,0,2,2
2017,"Caldwell University","NJ","51.3801","Registered Nursing/Registered Nurse","Bachelor's degree",29,2,27,17,3,2,2,0,0,0,4,1
2018,"Caldwell University","NJ","51.3801","Registered Nursing/Registered Nurse","Bachelor's degree",56,5,51,33,6,11,0,0,0,0,6,0
2019,"Caldwell University","NJ","51.3801","Registered Nursing/Registered Nurse","Bachelor's degree",53,2,51,28,4,9,2,0,0,1,9,0
2020,"Caldwell University","NJ","51.3801","Registered Nursing/Registered Nurse","Bachelor's degree",60,5,55,33,6,10,6,0,0,0,5,0
2021,"Caldwell University","NJ","51.3801","Registered Nursing/Registered Nurse","Bachelor's degree",58,6,52,28,10,9,3,0,0,0,4,4
2022,"Caldwell University","NJ","51.3801","Registered Nursing/Registered Nurse","Bachelor's degree",79,10,69,34,13,16,6,0,0,4,3,3
2023,"Caldwell University","NJ","51.3801","Registered Nursing/Registered Nurse","Bachelor's degree",80,3,77,33,11,29,3,0,0,0,3,1
2024,"Caldwell University","NJ","51.3801","Registered Nursing/Registered Nurse","Bachelor's degree",58,3,55,21,7,16,7,0,0,0,6,1
