UNITID,Institution,City,State,Sector,Control,CohortYear,GRReportingYear,GR200ReportingYear,CohortType,AwardLevel,InitialCohort,Exclusions,AdjustedCohort,Completers100,Completers150,Completers200,TransferOut,GraduationRate100,GraduationRate150,GraduationRate200,TransferOutRate,PeerGroup,DisplayOrder,IsCaldwell,PeerGroupName
183910,Caldwell University,Caldwell,NJ,"Private nonprofit, 4-year or above",Private nonprofit,2009,2015,2017,"First-time, full-time degree/certificate-seeking students",Bachelor's degree-seeking cohort,269,0,269,84,141,143,NA,31.226765799256505,52.41635687732342,53.159851301115246,NA,Selected Institution,1,TRUE,Caldwell University Graduation Rate Peer Group
183910,Caldwell University,Caldwell,NJ,"Private nonprofit, 4-year or above",Private nonprofit,2010,2016,2018,"First-time, full-time degree/certificate-seeking students",Bachelor's degree-seeking cohort,284,0,284,118,165,169,81,41.54929577464789,58.098591549295776,59.50704225352113,28.52112676056338,Selected Institution,1,TRUE,Caldwell University Graduation Rate Peer Group
183910,Caldwell University,Caldwell,NJ,"Private nonprofit, 4-year or above",Private nonprofit,2011,2017,2019,"First-time, full-time degree/certificate-seeking students",Bachelor's degree-seeking cohort,306,0,306,137,202,206,64,44.771241830065364,66.01307189542483,67.3202614379085,20.915032679738562,Selected Institution,1,TRUE,Caldwell University Graduation Rate Peer Group
183910,Caldwell University,Caldwell,NJ,"Private nonprofit, 4-year or above",Private nonprofit,2012,2018,2020,"First-time, full-time degree/certificate-seeking students",Bachelor's degree-seeking cohort,292,0,292,104,166,170,78,35.61643835616438,56.849315068493155,58.21917808219178,26.71232876712329,Selected Institution,1,TRUE,Caldwell University Graduation Rate Peer Group
183910,Caldwell University,Caldwell,NJ,"Private nonprofit, 4-year or above",Private nonprofit,2013,2019,2021,"First-time, full-time degree/certificate-seeking students",Bachelor's degree-seeking cohort,329,0,329,179,226,226,71,54.40729483282675,68.69300911854104,68.69300911854104,21.580547112462007,Selected Institution,1,TRUE,Caldwell University Graduation Rate Peer Group
183910,Caldwell University,Caldwell,NJ,"Private nonprofit, 4-year or above",Private nonprofit,2014,2020,2022,"First-time, full-time degree/certificate-seeking students",Bachelor's degree-seeking cohort,371,0,371,191,239,240,95,51.482479784366575,64.42048517520216,64.6900269541779,25.60646900269542,Selected Institution,1,TRUE,Caldwell University Graduation Rate Peer Group
183910,Caldwell University,Caldwell,NJ,"Private nonprofit, 4-year or above",Private nonprofit,2015,2021,2023,"First-time, full-time degree/certificate-seeking students",Bachelor's degree-seeking cohort,332,0,332,164,196,198,90,49.39759036144578,59.036144578313255,59.63855421686747,27.10843373493976,Selected Institution,1,TRUE,Caldwell University Graduation Rate Peer Group
183910,Caldwell University,Caldwell,NJ,"Private nonprofit, 4-year or above",Private nonprofit,2016,2022,2024,"First-time, full-time degree/certificate-seeking students",Bachelor's degree-seeking cohort,400,0,400,226,272,276,95,56.49999999999999,68,69,23.75,Selected Institution,1,TRUE,Caldwell University Graduation Rate Peer Group
183910,Caldwell University,Caldwell,NJ,"Private nonprofit, 4-year or above",Private nonprofit,2017,2023,NA,"First-time, full-time degree/certificate-seeking students",Bachelor's degree-seeking cohort,368,0,368,NA,216,NA,89,NA,58.69565217391305,NA,24.184782608695652,Selected Institution,1,TRUE,Caldwell University Graduation Rate Peer Group
183910,Caldwell University,Caldwell,NJ,"Private nonprofit, 4-year or above",Private nonprofit,2018,2024,NA,"First-time, full-time degree/certificate-seeking students",Bachelor's degree-seeking cohort,494,0,494,NA,284,NA,128,NA,57.48987854251012,NA,25.910931174089068,Selected Institution,1,TRUE,Caldwell University Graduation Rate Peer Group
183974,Centenary University,Hackettstown,NJ,"Private nonprofit, 4-year or above",Private nonprofit,2009,2015,2017,"First-time, full-time degree/certificate-seeking students",Bachelor's degree-seeking cohort,270,0,270,156,158,158,NA,57.77777777777777,58.51851851851851,58.51851851851851,NA,Peer Institution,2,FALSE,Caldwell University Graduation Rate Peer Group
183974,Centenary University,Hackettstown,NJ,"Private nonprofit, 4-year or above",Private nonprofit,2010,2016,2018,"First-time, full-time degree/certificate-seeking students",Bachelor's degree-seeking cohort,252,0,252,115,145,145,NA,45.63492063492063,57.53968253968254,57.53968253968254,NA,Peer Institution,2,FALSE,Caldwell University Graduation Rate Peer Group
183974,Centenary University,Hackettstown,NJ,"Private nonprofit, 4-year or above",Private nonprofit,2011,2017,2019,"First-time, full-time degree/certificate-seeking students",Bachelor's degree-seeking cohort,235,0,235,120,146,146,18,51.06382978723404,62.12765957446808,62.12765957446808,7.659574468085106,Peer Institution,2,FALSE,Caldwell University Graduation Rate Peer Group
183974,Centenary University,Hackettstown,NJ,"Private nonprofit, 4-year or above",Private nonprofit,2012,2018,2020,"First-time, full-time degree/certificate-seeking students",Bachelor's degree-seeking cohort,234,0,234,111,137,137,13,47.43589743589743,58.54700854700855,58.54700854700855,5.555555555555555,Peer Institution,2,FALSE,Caldwell University Graduation Rate Peer Group
