Year,TableName,varName,varTitle
2015,DRVC2015,BASDEG,Bachelor's degree
2015,DRVC2015,DOCDEGOT,Doctor's degree - other
2015,DRVC2015,DOCDEGPP,Doctor's degree - professional practice
2015,DRVC2015,DOCDEGRS,Doctor's degree - research/scholarship
2015,DRVC2015,MASDEG,Master's degree
2015,DRVC2015,SBASDEG,Number of students receiving a Bachelor's degree
2015,DRVC2015,SDOCDEG,Number of students receiving a Doctor's degree
2015,DRVC2015,SMASDEG,Number of students receiving a Master's degree
2015,DRVEF122015,FTE12MN,12-month full-time equivalent enrollment: 2014-15
2015,DRVEF122015,UNDUP,"12-month unduplicated headcount, total: 2014-15"
2015,DRVF2015,F1COREXP,"Core expenses, total dollars (GASB)"
2015,DRVF2015,F1CORREV,"Core revenues, total dollars (GASB)"
2015,DRVF2015,F2COREXP,"Core expenses, total dollars (FASB)"
2015,DRVF2015,F2CORREV,"Core revenues, total dollars (FASB)"
2015,DRVF2015,F3COREXP,"Core expenses, total dollars (for-profit institutons)"
2015,DRVF2015,F3CORREV,"Core revenues, total dollars (for-profit institutions)"
2015,DRVHR2015,SFTEINST,Instructional FTE
2015,DRVHR2015,SFTETOTL,Total FTE staff
2015,EAP2015,EAPFT,Full-time employees
2015,EAP2015,EAPPT,Part-time employees
2015,EAP2015,EAPTOT,Total employees
2015,EAP2015,FACSTAT,Faculty and tenure status
2015,EAP2015,OCCUPCAT,Occupation
2015,EFIA2015,FTEGD,"Reported full-time equivalent (FTE) graduate enrollment, 2014-15"
2015,EFIA2015,FTEUG,"Reported full-time equivalent (FTE) undergraduate enrollment, 2014-15"
2015,F1415_F1A,F1B01,"Tuition and fees, after deducting discounts and allowances"
2015,F1415_F1A,F1C011,Instruction - Current year total
2015,F1415_F1A,F1C021,Research - Current year total
2015,F1415_F1A,F1C051,Academic support - Current year total
2015,F1415_F1A,F1C061,Student services - Current year total
2015,F1415_F1A,F1C071,Institutional support - Current year total
2015,F1415_F2,F2D01,Tuition and fees - Total
2015,F1415_F2,F2E011,Instruction-Total amount
2015,F1415_F2,F2E021,Research-Total amount
2015,F1415_F2,F2E041,Academic support-Total amount
2015,F1415_F2,F2E051,Student service-Total amount
2015,F1415_F2,F2E061,Institutional support-Total amount
2015,F1415_F3,F3D01,Tuition and fees
2015,F1415_F3,F3E011,Instruction-Total amount
2015,F1415_F3,F3E02A1,Research-Total amount
2015,F1415_F3,F3E03A1,Academic support-Total amount
2015,F1415_F3,F3E03B1,Student service-Total amount
2015,F1415_F3,F3E03C1,Institutional support-Total amount
2015,FLAGS2015,IDX_F,ID number of parent institution for Finance survey
2015,FLAGS2015,PCF_F,Parent/child allocation factor - Finance
2015,FLAGS2015,PRCH_F,Parent/child indicator for Finance survey
2015,HD2015,C15BASIC,Carnegie Classification 2015: Basic
2015,HD2015,CCBASIC,Carnegie Classification 2005/2010: Basic
2015,HD2015,CONTROL,Control of institution
2015,HD2015,F1SYSCOD,Identification number of multi-institution or multi-campus organization
2015,HD2015,F1SYSNAM,Name of multi-institution or multi-campus organization
2015,HD2015,F1SYSTYP,Multi-institution or multi-campus organization
2015,HD2015,ICLEVEL,Level of institution
2015,HD2015,INSTNM,Institution (entity) name
2015,HD2015,STABBR,State abbreviation
2015,S2015_IS,FACSTAT,Faculty and tenure status
2015,S2015_NH,FACSTAT,Faculty and tenure status
2015,S2015_NH,OCCUPCAT,Occupation
2015,S2015_OC,OCCUPCAT,Occupation category
2015,S2015_SIS,FACSTAT,Faculty and tenure status
2016,DRVC2016,BASDEG,Bachelor's degree
2016,DRVC2016,DOCDEGOT,Doctor's degree - other
2016,DRVC2016,DOCDEGPP,Doctor's degree - professional practice
