Column,MissingRows,TotalRows,MissingPct
AcademicSupportExpenses,0,150,0
AcademicSupportExpensesPerFTE,0,150,0
AcademicSupportShareOfCoreExpenses,0,150,0
BachelorsDegrees,0,150,0
CarnegieClassification,0,150,0
Control,0,150,0
CoreExpensesPerDegree,0,150,0
CoreRevenuePerFTE,0,150,0
DegreesPer100FTE,0,150,0
DegreesPerFullTimeInstructionalStaff,0,150,0
DegreesPerInstructionalStaffFTE,0,150,0
DoctoralDegrees,0,150,0
FinanceParentChildStatus,0,150,0
FinanceReportingStandard,0,150,0
FullTimeInstructionalStaff,0,150,0
FullTimeStaff,0,150,0
GraduateFTE,0,150,0
Institution,0,150,0
InstitutionLevel,0,150,0
InstitutionalSupportExpenses,0,150,0
InstitutionalSupportExpensesPerFTE,0,150,0
InstitutionalSupportShareOfCoreExpenses,0,150,0
InstructionExpenses,0,150,0
InstructionExpensesPerDegree,0,150,0
InstructionExpensesPerFTE,0,150,0
InstructionShareOfCoreExpenses,0,150,0
InstructionalStaffFTE,0,150,0
MastersDegrees,0,150,0
OtherCoreExpenses,0,150,0
OtherCoreExpensesShare,0,150,0
PartTimeInstructionalStaff,0,150,0
PartTimeStaff,0,150,0
ResearchExpenses,0,150,0
StaffFTEPer100StudentFTE,0,150,0
StaffHeadcountPer100FTE,0,150,0
State,0,150,0
StudentServicesExpenses,0,150,0
StudentServicesExpensesPerFTE,0,150,0
StudentServicesShareOfCoreExpenses,0,150,0
TotalCompleters,0,150,0
TotalCoreExpenses,0,150,0
TotalCoreRevenue,0,150,0
TotalDegreesAwarded,0,150,0
TotalFTE,0,150,0
TotalStaffFTE,0,150,0
TotalStaffHeadcount,0,150,0
TuitionAndFeeRevenue,0,150,0
TuitionDependency,0,150,0
TuitionRevenuePerFTE,0,150,0
TwelveMonthHeadcount,0,150,0
UNITID,0,150,0
UndergraduateFTE,0,150,0
Year,0,150,0
