"Year","UNITID","Institution","State","Control","InstitutionLevel","CarnegieClassification","TotalFTE","UndergraduateFTE","GraduateFTE","TwelveMonthHeadcount","TotalDegreesAwarded","TotalCompleters","BachelorsDegrees","MastersDegrees","DoctoralDegrees","InstructionExpenses","TotalCoreExpenses","TotalCoreRevenue","TuitionAndFeeRevenue","StudentServicesExpenses","AcademicSupportExpenses","InstitutionalSupportExpenses","ResearchExpenses","FullTimeInstructionalStaff","PartTimeInstructionalStaff","InstructionalStaffFTE","FullTimeStaff","PartTimeStaff","TotalStaffHeadcount","TotalStaffFTE","FinanceReportingStandard","FinanceParentChildStatus","DegreesPer100FTE","DegreesPerFullTimeInstructionalStaff","DegreesPerInstructionalStaffFTE","InstructionExpensesPerDegree","CoreExpensesPerDegree","InstructionExpensesPerFTE","StudentServicesExpensesPerFTE","AcademicSupportExpensesPerFTE","InstitutionalSupportExpensesPerFTE","CoreRevenuePerFTE","TuitionRevenuePerFTE","TuitionDependency","StaffHeadcountPer100FTE","StaffFTEPer100StudentFTE","InstructionShareOfCoreExpenses","StudentServicesShareOfCoreExpenses","AcademicSupportShareOfCoreExpenses","InstitutionalSupportShareOfCoreExpenses","OtherCoreExpenses","OtherCoreExpensesShare"
2015,183910,"Caldwell University","NJ","Private not-for-profit","Four or more years","Master's Colleges & Universities: Medium Programs",1890,1554,336,2527,427,427,285,138,4,12342461,35615527,34609577,30120193,6981748,4533871,11757447,0,79,187,141,217,230,447,294,"FASB/private nonprofit (DRVF F2)","Campus/institution-level finance reporting",22.5925925925926,5.40506329113924,3.02836879432624,28905.0608899297,83408.7283372365,6530.40264550265,3694.04656084656,2398.87354497354,6220.87142857143,18311.9455026455,15936.6100529101,87.0284921425073,23.6507936507936,15.5555555555556,34.654719555322,19.6031017595219,12.730040468024,33.0121382171321,0,0
2016,183910,"Caldwell University","NJ","Private not-for-profit","Four or more years","Master's Colleges & Universities: Medium Programs",1749,1419,330,2412,437,437,314,120,3,12774846,36322411,35664666,30586822,7307742,4260904,11978919,0,81,196,146,217,239,456,296,"FASB/private nonprofit (DRVF F2)","Campus/institution-level finance reporting",24.9857061177816,5.39506172839506,2.99315068493151,29233.057208238,83117.6453089245,7304.08576329331,4178.24013722127,2436.19439679817,6849.0102915952,20391.461406518,17488.1772441395,85.7622555612886,26.0720411663808,16.9239565465981,35.1706994340216,20.1190994727745,11.730785161811,32.9794159313929,0,0
2017,183910,"Caldwell University","NJ","Private not-for-profit","Four or more years","Master's Colleges & Universities: Medium Programs",1904,1553,351,2516,463,462,337,121,5,11804000,35318000,35136000,32145000,8744000,3996000,10774000,0,79,209,149,215,255,470,301,"FASB/private nonprofit (DRVF F2)","Campus/institution-level finance reporting",24.3172268907563,5.86075949367089,3.10738255033557,25494.6004319654,76280.777537797,6199.57983193277,4592.43697478992,2098.73949579832,5658.61344537815,18453.781512605,16882.8781512605,91.4873633879781,24.6848739495798,15.8088235294118,33.42205107877,24.7579138116541,11.3143439605867,30.5056911489892,0,0
2018,183910,"Caldwell University","NJ","Private not-for-profit","Four or more years","Master's Colleges & Universities: Medium Programs",1853,1516,337,2397,462,462,353,95,14,11916000,39649000,37497000,33014000,9208000,4105000,10620000,0,79,210,149,222,254,476,307,"FASB/private nonprofit (DRVF F2)","Campus/institution-level finance reporting",24.9325418240691,5.84810126582278,3.1006711409396,25792.2077922078,85820.3463203463,6430.65299514301,4969.2390717755,2215.32649757151,5731.2466270912,20235.8337830545,17816.5137614679,88.044376883484,25.6880733944954,16.5677280086346,30.0537214053318,23.2237887462483,10.353350651971,26.7850387147217,3800000,9.58410048172716
2019,183910,"Caldwell University","NJ","Private not-for-profit","Four or more years","Master's Colleges & Universities: Medium Programs",1923,1604,319,2466,444,444,311,124,9,14941000,39468000,37238000,31758000,11212000,4957000,7275000,0,81,222,155,221,270,491,311,"FASB/private nonprofit (DRVF F2)","Campus/institution-level finance reporting",23.0889235569423,5.48148148148148,2.86451612903226,33650.9009009009,88891.8918918919,7769.63078523141,5830.47321892876,2577.74310972439,3783.15132605304,19364.5345813833,16514.8205928237,85.283849830818,25.5330213208528,16.1726469058762,37.855984595115,28.407824059998,12.559541907368,18.4326543022195,1083000,2.74399513529948
2020,183910,"Caldwell University","NJ","Private not-for-profit","Four or more years","Master's Colleges & Universities: Medium Programs",1977,1679,298,2435,459,459,335,119,5,16187000,38849000,37548000,33005000,7236000,6086000,9340000,0,80,197,146,211,243,454,292,"FASB/private nonprofit (DRVF F2)","Campus/institution-level finance reporting",23.216995447648,5.7375,3.14383561643836,35265.7952069717,84638.3442265795,8187.65806777946,3660.09104704097,3078.40161861406,4724.32979261507,18992.4127465857,16694.4865958523,87.9008202833706,22.9640870005058,14.7698533131007,41.6664521609308,18.6259620582254,15.6657829030348,24.041802877809,0,0
2021,183910,"Caldwell University","NJ","Private not-for-profit","Four or more years","Master's Colleges & Universities: Medium Programs",2006,1705,301,2491,429,429,302,120,7,21696000,35105000,41344000,32587000,0,0,13409000,0,76,198,142,218,241,459,297,"FASB/private nonprofit (DRVF F2)","Campus/institution-level finance reporting",21.3858424725823,5.64473684210526,3.02112676056338,50573.4265734266,81829.8368298368,10815.5533399801,0,0,6684.44666001994,20610.1694915254,16244.7657028913,78.8191756965944,22.8813559322034,14.8055832502493,61.8031619427432,0,0,38.1968380572568,0,0
2022,183910,"Caldwell University","NJ","Private not-for-profit","Four or more years","Master's Colleges & Universities: Medium Programs",1905,1607,298,2309,453,453,336,103,14,14950000,41982000,41259000,29381000,6022000,4330000,16680000,0,79,175,137,213,220,433,287,"FASB/private nonprofit (DRVF F2)","Campus/institution-level finance reporting",23.7795275590551,5.73417721518987,3.30656934306569,33002.2075055188,92675.4966887417,7847.76902887139,3161.15485564304,2272.96587926509,8755.90551181102,21658.2677165354,15423.0971128609,71.2111296929155,22.7296587926509,15.0656167979003,35.6104997379829,14.3442427707113,10.3139440712686,39.7313134200372,0,0
2023,183910,"Caldwell University","NJ","Private not-for-profit","Four or more years","Master's Colleges & Universities: Medium Programs",1710,1507,203,2160,432,432,333,94,5,15132082,35118711,35755974,29715131,7805038,4084803,8096788,0,77,166,132,193,206,399,262,"FASB/private nonprofit (DRVF F2)","Campus/institution-level finance reporting",25.2631578947368,5.61038961038961,3.27272727272727,35027.9675925926,81293.3125,8849.17076023392,4564.34970760234,2388.77368421053,4734.96374269006,20909.9263157895,17377.2695906433,83.105360239942,23.3333333333333,15.3216374269006,43.0883753108137,22.2247280089523,11.6314149457251,23.055481734509,0,0
2024,183910,"Caldwell University","NJ","Private not-for-profit","Four or more years","Master's Colleges & Universities: Medium Programs",1650,1413,237,2068,393,393,297,84,12,14981939,33645102,35187907,28121670,2091335,4337905,7645659,0,80,171,137,204,215,419,275.66,"FASB/private nonprofit (DRVF F2)","Campus/institution-level finance reporting",23.8181818181818,4.9125,2.86861313868613,38121.9821882952,85610.9465648855,9079.96303030303,1267.47575757576,2629.03333333333,4633.73272727273,21326.0042424242,17043.4363636364,79.9185640680476,25.3939393939394,16.7066666666667,44.5293314908066,6.21586761722405,12.8931248298787,22.7244340052825,4588264,13.6372420568081
