Year,DirectoryTable,FlagsTable,TwelveMonthEnrollmentTable,InstructionalActivityTable,CompletionsDerivedTable,FinanceDerivedTable,FinanceRawF1Table,FinanceRawF2Table,FinanceRawF3Table,HumanResourcesDerivedTable,HumanResourcesEmployeesTable,VariableTable,ValueSetTable
2015,hd2015,flags2015,drvef122015,efia2015,drvc2015,drvf2015,f1415_f1a,f1415_f2,f1415_f3,drvhr2015,eap2015,vartable15,valuesets15
2016,hd2016,flags2016,drvef122016,efia2016,drvc2016,drvf2016,f1516_f1a,f1516_f2,f1516_f3,drvhr2016,eap2016,vartable16,valuesets16
2017,hd2017,flags2017,drvef122017,efia2017,drvc2017,drvf2017,f1617_f1a,f1617_f2,f1617_f3,drvhr2017,eap2017,vartable17,valuesets17
2018,hd2018,flags2018,drvef122018,efia2018,drvc2018,drvf2018,f1718_f1a,f1718_f2,f1718_f3,drvhr2018,eap2018,vartable18,valuesets18
2019,hd2019,flags2019,drvef122019,efia2019,drvc2019,drvf2019,f1819_f1a,f1819_f2,f1819_f3,drvhr2019,eap2019,vartable19,valuesets19
2020,hd2020,flags2020,drvef122020,efia2020,drvc2020,drvf2020,f1920_f1a,f1920_f2,f1920_f3,drvhr2020,eap2020,vartable20,valuesets20
2021,hd2021,flags2021,drvef122021,efia2021,drvc2021,drvf2021,f2021_f1a,f2021_f2,f2021_f3,drvhr2021,eap2021,vartable21,valuesets21
2022,hd2022,flags2022,drvef122022,efia2022,drvc2022,drvf2022,f2122_f1a,f2122_f2,f2122_f3,drvhr2022,eap2022,vartable22,valuesets22
2023,HD2023,FLAGS2023,DRVEF122023,EFIA2023,DRVC2023,DRVF2023,F2223_F1A,F2223_F2,F2223_F3,DRVHR2023,EAP2023,vartable23,valuesets23
2024,HD2024,FLAGS2024,DRVEF122024,EFIA2024,DRVC2024,DRVF2024,F2324_F1A,F2324_F2,F2324_F3,DRVHR2024,EAP2024,VARTABLE24,VALUESETS24
