UNITID,Institution,State,Control,InstitutionLevel,CarnegieClassification,RequestedInstitution
183910,Caldwell University,NJ,Private not-for-profit,Four or more years,Master's Colleges & Universities: Medium Programs,Caldwell University
183974,Centenary University,NJ,Private not-for-profit,Four or more years,Master's Colleges & Universities: Medium Programs,Centenary University
184348,Drew University,NJ,Private not-for-profit,Four or more years,Baccalaureate Colleges: Arts & Sciences Focus,Drew University
232025,Emory & Henry University,VA,Private not-for-profit,Four or more years,Master's Colleges & Universities: Medium Programs,Emory & Henry University
184612,Felician University,NJ,Private not-for-profit,Four or more years,Master's Colleges & Universities: Medium Programs,Felician University
184773,Georgian Court University,NJ,Private not-for-profit,Four or more years,Master's Colleges & Universities: Larger Programs,Georgian Court University
212984,Holy Family University,PA,Private not-for-profit,Four or more years,Master's Colleges & Universities: Larger Programs,Holy Family University
147013,McKendree University,IL,Private not-for-profit,Four or more years,Master's Colleges & Universities: Medium Programs,McKendree University
193353,Mount Saint Mary College,NY,Private not-for-profit,Four or more years,Master's Colleges & Universities: Medium Programs,Mount Saint Mary College
214272,Neumann University,PA,Private not-for-profit,Four or more years,Master's Colleges & Universities: Medium Programs,Neumann University
186432,Saint Peter's University,NJ,Private not-for-profit,Four or more years,Master's Colleges & Universities: Larger Programs,Saint Peter's University
150534,University of Evansville,IN,Private not-for-profit,Four or more years,Master's Colleges & Universities: Medium Programs,University of Evansville
193399,University of Mount Saint Vincent,NY,Private not-for-profit,Four or more years,Baccalaureate Colleges: Diverse Fields,University of Mount Saint Vincent
197197,Wagner College,NY,Private not-for-profit,Four or more years,Master's Colleges & Universities: Medium Programs,Wagner College
216807,Westminster College,PA,Private not-for-profit,Four or more years,Baccalaureate Colleges: Arts & Sciences Focus,Westminster College
