"Year","UNITID","Institution","State","FullTimeCohort","FullTimeRetained","FullTimeRetentionRate","PartTimeCohort","PartTimeRetained","PartTimeRetentionRate","FullTimeYoYChange","PartTimeYoYChange","RetentionGap"
2015,"183910","Caldwell University","NJ",386,316,82,,,,,,
2016,"183910","Caldwell University","NJ",347,266,77,6,2,33,-5,,44
2017,"183910","Caldwell University","NJ",400,337,84,,,,7,,
2018,"183910","Caldwell University","NJ",361,285,79,,,,-5,,
2019,"183910","Caldwell University","NJ",494,392,79,3,2,67,0,,12
2020,"183910","Caldwell University","NJ",445,365,82,,,,3,,
2021,"183910","Caldwell University","NJ",445,328,74,,,,-8,,
2022,"183910","Caldwell University","NJ",349,247,71,0,0,,-3,,
2023,"183910","Caldwell University","NJ",444,324,73,1,1,100,2,,-27
2024,"183910","Caldwell University","NJ",343,265,77,2,0,0,4,-100,77
2015,"183974","Centenary University","NJ",230,180,78,2,0,0,,,78
2016,"183974","Centenary University","NJ",218,190,87,2,2,100,9,100,-13
2017,"183974","Centenary University","NJ",237,185,78,6,1,17,-9,-83,61
2018,"183974","Centenary University","NJ",212,146,69,7,1,14,-9,-3,55
2019,"183974","Centenary University","NJ",224,159,71,10,5,50,2,36,21
2020,"183974","Centenary University","NJ",200,145,73,5,3,60,2,10,13
2021,"183974","Centenary University","NJ",230,172,75,4,1,25,2,-35,50
2022,"183974","Centenary University","NJ",241,184,76,6,2,33,1,8,43
2023,"183974","Centenary University","NJ",187,140,75,2,2,100,-1,67,-25
2024,"183974","Centenary University","NJ",176,137,78,0,0,,3,,
2015,"184348","Drew University","NJ",302,257,85,0,0,,,,
2016,"184348","Drew University","NJ",356,311,87,1,1,100,2,,-13
2017,"184348","Drew University","NJ",350,298,85,,,,-2,,
2018,"184348","Drew University","NJ",371,310,84,,,,-1,,
2019,"184348","Drew University","NJ",420,356,85,,,,1,,
2020,"184348","Drew University","NJ",400,350,88,,,,3,,
2021,"184348","Drew University","NJ",343,303,88,,,,0,,
2022,"184348","Drew University","NJ",359,315,88,,,,0,,
2023,"184348","Drew University","NJ",309,261,84,,,,-4,,
2024,"184348","Drew University","NJ",404,357,88,0,0,,4,,
2015,"232025","Emory & Henry University","VA",284,200,70,0,0,,,,
2016,"232025","Emory & Henry University","VA",303,213,70,1,0,0,0,,70
2017,"232025","Emory & Henry University","VA",284,216,76,0,0,,6,,
2018,"232025","Emory & Henry University","VA",253,186,74,0,0,,-2,,
2019,"232025","Emory & Henry University","VA",268,205,76,0,0,,2,,
2020,"232025","Emory & Henry University","VA",270,204,76,1,1,100,0,,-24
2021,"232025","Emory & Henry University","VA",235,168,71,0,0,,-5,,
2022,"232025","Emory & Henry University","VA",390,263,67,0,0,,-4,,
2023,"232025","Emory & Henry University","VA",347,240,69,0,0,,2,,
2024,"232025","Emory & Henry University","VA",338,224,66,1,0,0,-3,,66
2015,"184612","Felician University","NJ",270,226,84,0,0,,,,
2016,"184612","Felician University","NJ",296,249,84,2,2,100,0,,-16
2017,"184612","Felician University","NJ",316,239,76,0,0,,-8,,
2018,"184612","Felician University","NJ",308,236,77,,,,1,,
2019,"184612","Felician University","NJ",288,225,78,,,,1,,
